Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/29 7:54:37 PM GMT+5:30,I Agree,ac3f4b5ddb8e149fe47ac049b8e0fd55,Male,25,Master's degree,Portugal,Enthusiastic,No,,3,rock,rock,Often,Rarely,Rarely,Always,Never,Always,Always,Never,Never,Rarely,Often,Rarely,Never,Often,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,Some of the time,None of the time,Some of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,nothing?,I feel more or less the same.,14,21,22,3.75,2.75,2,2.5,2.75
2019/03/29 8:14:50 PM GMT+5:30,I Agree,6c7b29c6b86f4a78b83a6d0a4c9aba6a,Male,28,Bachelor's degree,India,Enthusiastic,No,,4,rock,pop,Often,Often,Sometimes,Always,Rarely,Often,Always,Rarely,Never,Sometimes,Often,Rarely,Never,Sometimes,Some of the time,A little of the time,A little of the time,Some of the time,Some of the time,A little of the time,Most of the time,Most of the time,A little of the time,A little of the time,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,more psychedelic and acoustic in the mix,I feel worse now,19,20,27,4.5,3,4.25,3,3.25
2019/03/29 8:20:15 PM GMT+5:30,I Agree,90dbe83c6ae09e90496a7ffac9f7edc9,Male,19,High School graduate,United States,Enthusiastic,Yes,"Piano 10 years, Banjo 1 Year",1.5,classical,classical,Often,Rarely,Never,Often,Rarely,Often,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,A little of the time,Some of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Its become more mellow,I feel better now,13,15,14,3.75,3,1.5,4,2.5
2019/03/29 8:21:20 PM GMT+5:30,I Agree,6c985f64b75c0b4782fd541ee116ba66,Male,26,Bachelor's degree,Moldova,Moderate,No,,4,rock,rock,Often,Never,Sometimes,Always,Never,Often,Often,Never,Never,Sometimes,Never,Never,Never,Often,All of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,A little of the time,Some of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Listen to more music during work.,I feel more or less the same.,10,20,18,4,3.25,1.25,2.75,2.75
2019/03/29 8:21:21 PM GMT+5:30,I Agree,bca0364e32fc6145c1b9c7c3b97c83b0,Male,26,Master's degree,,Moderate,Yes,"Electric Guitar, 1",3,jazz,Mixed,Often,Never,Never,Often,Never,Often,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Sometimes,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"It didn't really, as I was always eclectic, but this year I started listening to French chanson, as I am learning French as a hobby. Also, I discovered that I can relate to themes in American country music and the melodies are catchy, so that's a new genre that I enjoy.",I feel better now,9,17,11,5,5,2.5,2.75,2.25
2019/03/29 8:34:30 PM GMT+5:30,I Agree,81c1a39b4df82b9f06f00e72bf62e1c7,Male,31,Bachelor's degree,Canada,Enthusiastic,Yes,"Clarinet, 3 years",3,Hip hop,mixed,Sometimes,Rarely,Sometimes,Often,Rarely,Often,Often,Sometimes,Never,Sometimes,Never,Never,Never,Often,Some of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,Some of the time,Some of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Less music in favour of audio-books and podcasts,I feel worse now,14,19,21,2.75,3.75,2.75,3.75,2.75
2019/03/29 10:06:10 PM GMT+5:30,I Agree,d184672d356250904f1ddf0fb1f6be0c,Male,22,Master's degree,United States,Enthusiastic,Yes,6,3,jazz,Mixed,Always,Sometimes,Rarely,Often,Never,Always,Often,Rarely,Never,Often,Sometimes,Sometimes,Rarely,Sometimes,Some of the time,Some of the time,A little of the time,Some of the time,Some of the time,None of the time,Most of the time,Some of the time,A little of the time,Some of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,I have listened to considerably more music ,I feel more or less the same.,17,20,27,4.75,3.25,2,5,3
2019/03/29 10:40:25 PM GMT+5:30,I Agree,a687b5300f971f7a0ddfe98786f90d90,Male,25,Bachelor's degree,United States,Enthusiastic,Yes,19 years of percussion and beyond,7,classical,jazz,Always,Often,Often,Always,Never,Always,Always,Rarely,Never,Always,Rarely,Never,Never,Always,Some of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"Yes because I work more, but as long as I can listen to music when I wake up for a few hours, life is phenomenal.",I feel better now,16,25,13,4.25,2.25,4.75,4.25,2.75
2019/03/29 11:05:03 PM GMT+5:30,I Agree,ff7aefe14748d4cfed2a7f6cbc6cb226,Male,22,Bachelor's degree,Ukraine,Enthusiastic,No,,4,pop,jazz,Often,Sometimes,Never,Often,Rarely,Often,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Some of the time,Some of the time,None of the time,All of the time,None of the time,None of the time,All of the time,None of the time,Some of the time,All of the time,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,It became wider towards different genres and artists I found ,I feel worse now,13,13,28,4.75,4.5,1,5,3.5
2019/03/29 11:23:49 PM GMT+5:30,I Agree,dbb2cbd9a23bd4c5a1ec4b9c211450ae,Male,29,Bachelor's degree,United States,Enthusiastic,No,,2,Mixed,jazz,Often,Sometimes,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Never,Often,Sometimes,Never,Never,Sometimes,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,None of the time,Some of the time,Some of the time,A little of the time,None of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Not much. Skewing more towards electric soul/electric blues,I feel more or less the same.,16,18,23,4.5,2.25,1.25,4,3.75
2019/03/29 11:29:44 PM GMT+5:30,I Agree,7e1b665cee96b023b4da4ee742d273c0,Female,42,Bachelor's degree,Finland,Enthusiastic,No,,1,pop,pop,Rarely,Sometimes,Rarely,Often,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,A little of the time,All of the time,Most of the time,Some of the time,Most of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,I listen to less music,I feel worse now,21,19,36,4.5,3,2.75,4.5,5
2019/03/29 11:55:58 PM GMT+5:30,I Agree,c5132eda6af28d5491da2032af197da3,Male,20,High School graduate,United States,Enthusiastic,Yes,"guitar, couple years",6,Hip-Hop,pop,Always,Sometimes,Rarely,Always,Never,Always,Always,Rarely,Never,Often,Never,Never,Rarely,Always,A little of the time,None of the time,None of the time,None of the time,Some of the time,Some of the time,None of the time,A little of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Stayed the same,I feel better now,13,24,16,4.5,3.75,3.5,3.5,2.75
2019/03/30 12:02:13 AM GMT+5:30,I Agree,584c69b43ce60da0c3c0770e8e42e6b4,Male,27,Bachelor's degree,United States,Enthusiastic,No,,6,rock,classical,Always,Rarely,Never,Often,Never,Often,Always,Never,Never,Often,Never,Never,Never,Often,Some of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,"Not much, expansion if anything",I feel better now,9,21,16,4,3,4,4.5,3
2019/03/30 12:44:00 AM GMT+5:30,I Agree,34c3d871d60be3e2b0611c48c85ab239,Male,28,High School graduate,United States,Enthusiastic,Yes,"Percussion, two years",1.5,jazz,rock,Often,Sometimes,Never,Always,Rarely,Often,Often,Sometimes,Rarely,Often,Never,Sometimes,Never,Always,Some of the time,A little of the time,None of the time,A little of the time,Some of the time,None of the time,Most of the time,A little of the time,None of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,"It's taken a backseat, Ive recently started listening to a lot more podcasts and so hour+ long podcasts have kind of taken the time I wouldve spent listening to music. My music listening particularly the past month has been pretty sporadic",I feel worse now,16,22,22,4,2.25,2.25,4.5,4.25
2019/03/30 1:13:33 AM GMT+5:30,I Agree,9798d743dc581f0f9e189ea063ef1e7d,Male,19,High School graduate,United States,Enthusiastic,Yes,"Oboe 3 years, French horn 5 years, singing 2 years",5,rock,jazz,Always,Sometimes,Often,Always,Never,Always,Often,Rarely,Never,Always,Rarely,Sometimes,Never,Always,Most of the time,Most of the time,Some of the time,None of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,"More consistent listening, more diverse, more focused listening",I feel better now,17,24,28,4.75,3.75,2.25,5,3.75
2019/03/30 2:08:46 AM GMT+5:30,I Agree,9d2b1c16fd477631db09dc6c0ce4c455,Male,31,High School graduate,United States,Enthusiastic,No,,3,rock,rock,Always,Rarely,Often,Often,Rarely,Often,Always,Never,Never,Sometimes,Often,Never,Never,Rarely,A little of the time,A little of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,"Maybe, but not as much as it's changed over other years.",I feel more or less the same.,16,18,15,4.25,2,2.5,2.75,1.75
2019/03/30 3:11:54 AM GMT+5:30,I Agree,702eeb86dbd6a5ee2cbf3cde76efae52,Male,31,High School graduate,Sweden,Enthusiastic,No,,8,rock,Mixed,Often,Rarely,Often,Always,Never,Often,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Rarely,A little of the time,Most of the time,A little of the time,None of the time,All of the time,None of the time,A little of the time,Some of the time,A little of the time,A little of the time,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,More slavic hardbass,I feel better now,22,19,24,2.5,2.75,4,3.5,4
2019/03/30 3:49:35 AM GMT+5:30,I Agree,4f46696819f47c7978fb62400313d102,Male,18,High School graduate,United States,Enthusiastic,No,,3,Mixed,Mixed,Always,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,None of the time,Some of the time,Most of the time,A little of the time,A little of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,"It's fluctuated and I've discovered more artists, but generally stayed the same.",I feel more or less the same.,24,17,26,3.5,3,4.25,4.25,3.5
2019/03/30 3:49:44 AM GMT+5:30,I Agree,0538da9949fdaa2da6e5f18c0a27e146,Male,22,High School graduate,United States,Enthusiastic,Yes,"Guitar, 2 years",2,pop,classical,Sometimes,Rarely,Sometimes,Often,Never,Often,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Never,Often,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,A little of the time,Some of the time,Some of the time,Some of the time,Some of the time,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,I listen to music more frequently over the last year,I feel more or less the same.,14,18,30,4,2.75,1.25,3.25,3.5
2019/03/30 3:53:06 AM GMT+5:30,I Agree,1de8a6268be8dcf3b3f2cf8575032793,Male,27,Master's degree,Iran,Enthusiastic,No,,4,Mixed,rock,Always,Sometimes,Rarely,Always,Never,Often,Always,Rarely,Never,Often,Never,Rarely,Never,Always,Some of the time,Some of the time,Most of the time,A little of the time,Some of the time,A little of the time,Some of the time,None of the time,A little of the time,None of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,I've gotten into more jazz than before,I feel better now,13,23,24,4.25,2.25,3.25,4,3.25
2019/03/30 4:05:51 AM GMT+5:30,I Agree,a541c4bb9609ba9e0ec9fd3f14dc00a4,Male,42,Bachelor's degree,Croatia,Enthusiastic,No,,1,Mixed,classical,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,It hasn't,I feel better now,8,15,11,4.25,3.5,3.25,3.5,2.75
2019/03/30 4:12:55 AM GMT+5:30,I Agree,445a86adb9552f5cbf4e0312a2614542,Male,19,High School graduate,Ukraine,Enthusiastic,No,,1,Mixed,rock,Sometimes,Never,Never,Always,Rarely,Always,Always,Rarely,Never,Sometimes,Never,Never,Never,Often,A little of the time,All of the time,Most of the time,All of the time,Some of the time,A little of the time,All of the time,Some of the time,Most of the time,All of the time,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,not really. mostly listen music in public transport or when im gaming,I feel better now,10,22,38,3.5,4,2.75,3.5,2.75
2019/03/30 4:39:55 AM GMT+5:30,I Agree,74baab6beca4eed466acc7f93f8b5590,Male,18,High School graduate,United States,Enthusiastic,No,,4,rock,rock,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Rarely,Never,Often,Never,Sometimes,Never,Often,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Most of the time,All of the time,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Listening to a lot of music with relatable lyrics/themes to my experience.,I feel worse now,17,20,42,4.25,3,1,4.5,4.25
2019/03/30 7:05:00 AM GMT+5:30,I Agree,9d8f78dceb0b296bd8ea6ef8461fe0b0,Male,22,Professional degree,India,Enthusiastic,No,,4,Hip-Hop,rock,Often,Rarely,Sometimes,Often,Never,Often,Often,Rarely,Never,Sometimes,Never,Rarely,Never,Often,A little of the time,Some of the time,A little of the time,A little of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Have a more stronger taste for the Hip-Hop scene,I feel more or less the same.,13,19,19,4.25,4.5,2.25,3.75,2.75
2019/03/30 7:49:02 AM GMT+5:30,I Agree,fd60d546700774dcb3786b9f6e631e15,Female,16,High School graduate,United States,Enthusiastic,Yes,"Trumpet (5 years), French Horn (2 years), Chior (3 years), Guitar (3 years), Piano (7 years).",2,pop,rock,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Most of the time,Most of the time,A little of the time,A little of the time,Some of the time,A little of the time,Some of the time,Some of the time,Some of the time,None of the time,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,My school days have allowed for less listening time over the past year,I feel better now,11,15,27,4,3.75,4.25,5,2.75
2019/03/30 9:43:01 AM GMT+5:30,I Agree,d04250fa2fc6b95c7ba2c71e373475a9,Male,20,Professional degree,Philippines,Enthusiastic,Yes,"Euphonium, 4 years",6,rock,rock,Often,Rarely,Never,Often,Never,Always,Often,Sometimes,Never,Often,Rarely,Never,Never,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Started listening to less western music (albeit not intentionally),I feel better now,12,21,16,5,3.75,3,4.75,3.5
2019/03/30 1:05:01 PM GMT+5:30,I Agree,0936ab0c2f81dbd5c6492817ad7a5774,Female,23,High School graduate,New Zealand,Enthusiastic,No,,14,pop,jazz,Always,Sometimes,Sometimes,Always,Sometimes,Often,Always,Always,Rarely,Always,Rarely,Always,Never,Often,Most of the time,Some of the time,Some of the time,A little of the time,Most of the time,Most of the time,A little of the time,Most of the time,Some of the time,A little of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,not at all,Can't say,24,23,31,4.75,2.25,1.25,3.5,3.25
2019/03/30 5:54:27 PM GMT+5:30,I Agree,33d0dcba4db8e96a46cf90a577d7f0af,Female,20,High School graduate,Sweden,Enthusiastic,Yes,"Cello, for four years",8,rock,classical,Always,Sometimes,Rarely,Often,Rarely,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Often,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,Some of the time,A little of the time,Some of the time,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,I can't really say it has changed that much to be honest,I feel better now,19,19,22,3,2.5,1.5,2.75,2.75
